"international_plan","total_day_minutes","total_intl_minutes","number_customer_service_calls","total_intl_calls","churn"
"101","no",161.2,4.4,4,8,"no"
"102","no",178.3,14.6,0,5,"no"
"103","no",151.7,10.5,0,6,"no"
"104","no",135,12.5,1,9,"no"
"105","no",170.5,11.3,1,2,"no"
"106","no",238.1,11.8,4,4,"no"
"107","no",281.4,9,2,6,"no"
"108","no",117.9,9.8,1,3,"no"
"109","no",148.6,10.1,1,1,"no"
"110","no",229.8,9.6,3,7,"no"
"111","no",165,8.3,1,8,"no"
"112","no",185,12.6,2,2,"no"
"113","no",161,12.1,4,4,"no"
"114","no",126.7,13.3,1,7,"no"
"115","no",58.9,9.4,1,3,"no"
"116","yes",196.8,20,0,6,"yes"
"117","no",162.6,14.2,1,3,"no"
"118","no",282.5,9.4,1,4,"yes"
"119","no",113.7,10,2,3,"no"
"120","no",239.8,8.7,2,5,"no"
"121","no",210.2,13.1,1,7,"no"
"122","no",213.8,7.2,0,3,"no"
"123","no",190.7,9.8,3,4,"no"
"124","no",170.9,11.6,1,3,"no"
"125","no",154.2,9.2,2,5,"no"
"126","no",201.4,12,1,3,"no"
"127","no",70.7,9.1,4,3,"yes"
"128","no",187.5,6.4,4,6,"yes"
"129","no",91.7,9.2,2,4,"no"
"130","no",214.2,9.5,3,4,"no"
"131","no",145.5,10.9,3,2,"no"
"132","no",166.3,6.1,1,5,"no"
"133","no",231,9.5,1,3,"no"
"134","no",200.3,7.1,4,1,"no"
"135","no",197,9.1,1,10,"no"
"136","yes",129.9,11.2,3,3,"no"
"137","no",175.8,5.3,5,4,"no"
"138","no",203.1,12,3,3,"no"
"139","no",183.2,11.2,1,8,"no"
"140","no",205,10.2,2,5,"no"
"141","no",148.5,12.4,1,3,"no"
"142","no",200.3,10.5,0,4,"no"
"143","no",192.6,6.8,3,5,"no"
"144","no",246.5,11.7,1,4,"no"
"145","yes",167.1,14.1,2,7,"yes"
"146","no",231.9,14.3,3,6,"no"
"147","no",146.7,13.7,1,3,"no"
"148","yes",271.5,11.7,1,4,"no"
"149","no",181.5,8.5,1,5,"no"
"150","no",257.7,11.1,2,4,"no"
"151","no",193.8,10.6,1,6,"no"
"152","no",102.8,10.1,1,7,"no"
"153","no",187.9,7.5,1,6,"no"
"154","no",226,6.9,1,11,"no"
"155","no",260.4,11.5,5,4,"no"
"156","no",178.7,9.8,0,4,"no"
"157","no",337.4,15.8,0,7,"yes"
"158","no",157.6,13.7,0,2,"no"
"159","no",183.6,10.2,1,2,"no"
"160","no",142.1,9.6,1,4,"no"
"161","no",136.3,7.1,0,5,"no"
"162","no",217.1,12,0,6,"no"
"163","no",187.5,10.5,3,5,"no"
"164","no",98.9,12.2,1,1,"no"
"165","no",206.3,6.1,1,3,"no"
"166","no",243.1,12.1,2,2,"no"
"167","no",189.8,7.5,1,3,"no"
"168","no",202,10.9,1,3,"no"
"169","no",170.1,12.8,1,4,"no"
"170","no",230.9,6.3,0,2,"no"
"171","no",237.1,13.2,1,2,"no"
"172","no",182.1,10.6,2,5,"no"
"173","no",119.3,10.5,3,4,"no"
"174","no",116.8,14.1,1,2,"no"
"175","no",219.2,6.1,0,5,"no"
"176","no",252.6,11.1,2,7,"no"
"177","no",147.1,12.2,0,3,"no"
"178","no",202.1,11.5,2,3,"no"
"179","no",173.5,16.2,3,10,"no"
"180","no",232.1,0,3,0,"no"
"181","yes",197.1,9.5,4,5,"no"
"182","no",58.2,11.9,5,1,"yes"
"183","no",115.6,9.9,2,12,"no"
"184","no",186.1,14.6,2,7,"no"
"185","yes",259.9,8.4,3,3,"no"
"186","no",214.3,10.8,1,13,"no"
"187","no",158.7,10.2,1,4,"no"
"188","no",271.6,10.9,2,3,"no"
"189","no",160.6,9,1,3,"no"
"190","no",232.4,9.1,1,3,"no"
"191","no",133.8,8.9,0,4,"no"
"192","no",176.9,9.5,1,2,"no"
"193","no",209.9,8.8,2,4,"no"
"194","no",137.5,13.4,0,2,"no"
"195","no",289.5,9.5,1,4,"no"
"196","no",198.1,6.8,1,6,"no"
"197","no",149.7,9.7,0,8,"no"
"198","no",326.5,10.7,2,6,"yes"
"199","yes",292.9,13.8,4,7,"yes"
"200","no",83,13,0,3,"no"
"201","no",145.7,13.1,3,5,"no"
"202","no",182.3,11.2,2,1,"no"
"203","no",218,6.4,3,8,"no"
"204","no",140.6,6.8,2,3,"no"
"205","no",152.7,9.4,1,4,"no"
"206","no",106.7,12.1,1,2,"no"
"207","no",243.8,13.7,2,8,"no"
"208","no",194.4,10.8,3,5,"no"
"209","no",213.9,12.2,3,5,"no"
"210","no",217.2,15.8,3,7,"no"
"211","no",241.1,11.6,1,10,"no"
"212","yes",203.5,11.9,0,11,"no"
"213","no",155.2,10.7,1,3,"no"
"214","no",167.6,12.2,1,6,"no"
"215","yes",226.7,17.6,2,4,"yes"
"216","no",179.3,11.5,3,6,"no"
"217","no",151.4,10.9,0,3,"no"
"218","no",180,4.7,3,7,"no"
"219","no",250.2,13,1,2,"yes"
"220","no",223,7.1,0,12,"no"
"221","no",183.6,12.2,3,6,"no"
"222","no",166,10.2,1,6,"no"
"223","no",136.1,4.4,1,2,"no"
"224","no",149.3,8.9,2,6,"no"
"225","no",65.4,13.8,2,1,"no"
"226","no",213.4,2.7,1,4,"no"
"227","no",206.9,7.7,3,2,"no"
"228","no",186.2,9.6,2,3,"no"
"229","no",280.2,13.3,4,3,"no"
"230","no",196.6,11.9,0,3,"no"
"231","yes",312,10.5,0,2,"yes"
"232","yes",199,11,1,6,"no"
"233","no",203.1,13.5,3,2,"no"
"234","no",168.8,10.9,0,2,"no"
"235","yes",173.1,9,1,5,"no"
"236","no",134.4,10.2,5,2,"yes"
"237","no",202.6,9,2,9,"no"
"238","no",74.5,9.8,3,7,"no"
"239","no",83.6,10.7,0,9,"no"
"240","no",192.2,9.4,1,6,"no"
"241","no",220.2,12.9,0,5,"no"
"242","yes",135.1,12.3,2,2,"yes"
"243","no",253.4,8.4,1,2,"no"
"244","no",225,7.1,3,2,"no"
"245","no",198.5,9.4,0,3,"yes"
"246","no",110.3,9.5,0,5,"no"
"247","no",60,11.1,0,3,"no"
"248","no",214.8,10.2,0,5,"no"
"249","no",181.8,9.2,4,2,"no"
"250","no",154,11.8,2,4,"no"
"251","no",157.4,13.9,4,11,"yes"
"252","no",207.9,14.4,4,7,"no"
"253","no",207,9.1,3,8,"no"
"254","no",119,9.5,0,3,"no"
"255","yes",143.7,10.9,0,3,"no"
"256","no",165.9,14.1,4,8,"no"
"257","no",138.6,9.8,1,3,"no"
"258","no",84.7,14.5,1,8,"no"
"259","yes",62.6,10.4,1,2,"yes"
"260","no",155.2,8.7,1,4,"no"
"261","no",164.9,6.7,1,9,"no"
"262","no",134.5,15.4,1,1,"no"
"263","no",143.3,11.5,1,3,"no"
"264","no",168.3,12.5,1,1,"no"
"265","no",262.4,8.3,2,6,"no"
"266","no",206.2,11.4,1,6,"no"
"267","no",225.8,8.4,4,9,"no"
"268","no",138.3,13.5,3,6,"no"
"269","no",94.4,4.5,0,4,"no"
"270","yes",160,9.9,2,3,"no"
"271","no",206.6,14.6,0,3,"no"
"272","no",134.7,7.7,1,3,"no"
"273","no",214.4,8,3,13,"no"
"274","no",192.8,13,3,3,"no"
"275","no",151.1,10,1,3,"no"
"276","no",221.4,9.8,3,5,"no"
"277","yes",218.9,11.1,0,4,"no"
"278","no",189.8,6.5,2,2,"yes"
"279","no",192.7,10.9,2,6,"no"
"280","yes",204.4,10.5,3,6,"no"
"281","no",172.3,13,2,4,"no"
"282","no",198.4,10.4,2,6,"no"
"283","no",211.7,12.2,1,1,"no"
"284","no",221.6,9,1,2,"no"
"285","no",197.9,6.7,3,5,"no"
"286","no",147.5,15.6,2,3,"no"
"287","no",206.4,8.8,2,5,"no"
"288","no",205.9,14.5,2,4,"no"
"289","no",207.6,14.1,0,5,"no"
"290","no",303.9,5.3,1,3,"yes"
"291","no",230.6,8,0,2,"no"
"292","no",99.5,9.7,0,3,"no"
"293","no",177.1,5.9,1,4,"no"
"294","no",172.7,10.3,5,5,"yes"
"295","no",172.7,9.8,1,3,"no"
"296","no",204.2,9.5,1,5,"no"
"297","no",85.7,10.1,2,5,"no"
"298","no",157.6,11.9,0,1,"no"
"299","no",215.5,6.6,4,9,"no"
"300","no",181.5,6.6,1,5,"no"
"301","no",171.7,11.9,2,4,"no"
"302","no",266.6,5.9,1,2,"yes"
"303","no",170.4,11.2,0,3,"yes"
"304","no",158,9.1,1,4,"no"
"305","no",92,10.3,1,10,"no"
"306","no",234,9.1,2,5,"no"
"307","no",272.1,8.5,1,10,"yes"
"308","no",296.4,11.4,4,3,"yes"
"309","no",194.4,11.4,0,2,"no"
"310","no",227.2,8.9,3,4,"no"
"311","no",248.7,13.2,1,2,"yes"
"312","no",236.3,9.7,1,6,"no"
"313","no",205.6,10.9,0,3,"no"
"314","no",94.1,9.8,0,4,"no"
"315","no",125.2,18.9,0,2,"no"
"316","no",60.4,12.4,1,3,"no"
"317","no",121,7.7,2,4,"no"
"318","no",117.8,7.6,3,3,"no"
"319","no",232.4,5,3,5,"no"
"320","yes",223.5,9.4,2,2,"yes"
"321","no",176.3,6.2,0,3,"no"
"322","no",125.2,12.9,1,3,"no"
"323","no",138.7,10,0,3,"no"
"324","no",86.3,11.3,1,4,"no"
"325","no",207,13.4,3,5,"no"
"326","no",58.8,7.1,0,3,"no"
"327","no",68.7,11.4,1,4,"no"
"328","no",239.2,9.5,1,4,"no"
"329","no",198.3,12.5,0,3,"no"
"330","no",205.2,14.4,0,12,"no"
"331","no",192.1,7.9,3,2,"no"
"332","no",272.6,9.5,1,2,"yes"
"333","no",128.3,12.2,7,5,"yes"
"334","no",169.6,9.3,0,4,"no"
"335","no",201.3,7.5,1,4,"no"
"336","no",214.7,8.6,1,4,"no"
"337","no",169.2,10.6,0,2,"no"
"338","no",194.1,7,2,7,"no"
"339","no",233.8,7.6,2,3,"no"
"340","no",225.1,14.6,0,2,"no"
"341","no",213,9.1,1,1,"yes"
"342","no",183.9,10.8,1,11,"no"
"343","no",221.8,14,0,7,"no"
"344","no",64.6,0,2,0,"no"
"345","no",154.6,13.3,1,3,"no"
"346","no",260.2,7.2,3,8,"no"
"347","no",161.6,12.2,1,5,"no"
"348","no",220.6,10.5,1,11,"no"
"349","no",155.9,13.1,3,5,"no"
"350","no",107,12.8,4,3,"yes"
"351","no",182.5,11.3,4,8,"no"
"352","yes",220.1,10.1,4,4,"no"
"353","no",152.2,5.3,1,3,"no"
"354","no",181.5,14.7,2,9,"no"
"355","yes",236.2,13.2,2,2,"yes"
"356","no",166.1,12.7,1,2,"no"
"357","yes",244.6,11.3,1,4,"no"
"358","no",134.2,8.5,2,2,"no"
"359","yes",149.7,9.2,1,4,"no"
"360","no",150.1,5.8,1,4,"no"
"361","yes",257.1,8.8,1,6,"yes"
"362","no",124.4,11.3,0,6,"no"
"363","no",141.7,12,1,5,"no"
"364","no",230,11.3,2,3,"no"
"365","no",162.3,10.9,0,2,"no"
"366","no",350.8,10.1,1,9,"yes"
"367","no",193.3,9.1,4,3,"no"
"368","no",78.2,18,1,3,"no"
"369","no",83.4,7.6,1,5,"no"
"370","no",195.6,16,0,2,"no"
"371","no",201.8,10.3,1,6,"no"
"372","no",197,10.6,2,6,"no"
"373","yes",218,12.4,0,1,"yes"
"374","no",164.8,14.8,2,2,"no"
"375","no",179.2,9.2,2,6,"no"
"376","no",214,10.6,0,5,"no"
"377","no",170.5,11.2,2,7,"no"
"378","no",205.7,6.7,1,18,"no"
"379","yes",165.5,11.5,1,2,"yes"
"380","no",221,6.8,2,4,"no"
"381","no",242.1,14.7,3,2,"no"
"382","no",151.6,14.7,1,4,"no"
"383","yes",176.2,5.7,0,4,"no"
"384","yes",196,3.7,1,5,"no"
"385","no",159.5,7.2,2,4,"no"
"386","no",230.2,10.7,4,7,"no"
"387","no",146.7,8.9,3,1,"no"
"388","no",210.5,8.5,1,5,"no"
"389","no",102,10.7,1,3,"no"
"390","no",126,10.2,3,6,"no"
"391","no",168.4,11.1,1,2,"no"
"392","no",105.6,8.7,0,3,"no"
"393","no",206.5,12.4,5,5,"no"
"394","no",217.1,9.4,2,3,"no"
"395","no",229.6,10.8,0,2,"yes"
"396","no",278.3,9.7,0,5,"no"
"397","no",138.6,7.8,0,4,"no"
"398","no",234.4,2,1,2,"yes"
"399","no",181.5,8.5,1,4,"no"
"400","no",167.3,10.6,1,5,"yes"
"401","no",121,12,1,1,"no"
"402","no",221.1,10.6,0,3,"no"
"403","no",145.8,9.9,1,2,"no"
"404","no",222.8,11.2,1,6,"no"
"405","no",183.4,7.5,4,3,"no"
"406","yes",264.3,9.3,0,5,"no"
"407","no",146,6.8,0,7,"no"
"408","no",157.1,8.5,4,5,"yes"
"409","yes",127.3,10.3,1,3,"no"
"410","no",187.9,4.8,2,4,"no"
"411","no",178.8,8.4,2,5,"no"
"412","no",97.2,10.4,2,6,"no"
"413","no",259.8,5.4,0,1,"no"
"414","no",256.5,7,3,5,"no"
"415","no",169.5,10,0,3,"no"
"416","no",239.7,8.7,2,3,"yes"
"417","yes",171.5,5,1,2,"yes"
"418","no",239.9,9.8,0,2,"no"
"419","no",142.3,16,1,6,"no"
"420","no",184.1,7.5,2,6,"no"
"421","no",206.9,9.3,2,11,"no"
"422","no",259.9,15.3,1,1,"no"
"423","no",203.8,12.5,0,3,"no"
"424","no",248.8,10.3,3,2,"no"
"425","no",221.6,11.3,1,3,"no"
"426","yes",192.9,10.9,1,4,"no"
"427","no",122.4,12.5,1,7,"no"
"428","no",104.9,9.6,1,9,"no"
"429","no",173.2,11.2,3,5,"no"
"430","no",119.4,12.4,2,7,"no"
"431","no",250.3,13.3,2,2,"yes"
"432","no",178.3,11.4,1,4,"no"
"433","no",243.4,12.8,1,2,"no"
"434","no",155,11.8,2,5,"no"
"435","no",288.7,8.6,0,3,"no"
"436","no",240.4,11.2,1,3,"no"
"437","no",190.3,8,1,3,"no"
"438","no",278,8.3,0,4,"yes"
"439","no",155,13.5,1,3,"no"
"440","no",153.5,6.3,2,2,"no"
"441","no",273.4,12.3,1,6,"no"
"442","no",155.3,12.4,0,4,"no"
"443","no",133.1,6.8,1,3,"no"
"444","no",246.8,12.6,1,5,"no"
"445","yes",165.4,9.6,2,7,"no"
"446","no",59.5,11.1,0,6,"no"
"447","no",138.3,9.6,3,4,"no"
"448","no",286.7,6.9,2,5,"no"
"449","no",117.3,12.2,1,3,"no"
"450","no",264.3,6.3,4,3,"no"
"451","no",127.9,12.5,0,5,"no"
"452","no",225.5,9.8,0,2,"no"
"453","no",149,8.3,0,3,"no"
"454","no",198.9,14.3,1,9,"no"
"455","no",256.4,11.1,1,1,"yes"
"456","no",264.8,14.8,1,2,"yes"
"457","no",98.2,9.3,2,2,"no"
"458","no",159.8,9.7,2,7,"no"
"459","no",190.6,6,3,3,"no"
"460","no",184,11,0,3,"no"
"461","no",261.8,9.6,1,5,"no"
"462","no",147.9,9.6,3,9,"no"
"463","no",106.4,10.1,1,5,"no"
"464","no",133.7,5.9,0,2,"no"
"465","no",193.5,8.5,0,5,"no"
"466","yes",178.2,13.6,3,3,"yes"
"467","no",226.2,10.5,3,5,"yes"
"468","no",170.4,11.6,1,4,"no"
"469","no",70.9,11.1,3,5,"no"
"470","no",194.4,17.2,2,9,"no"
"471","no",240.3,10.6,1,2,"no"
"472","no",75,9.5,3,6,"no"
"473","no",69.1,6.3,1,3,"no"
"474","no",96.6,6.2,4,4,"yes"
"475","no",214.6,14.8,0,12,"no"
"476","no",148.5,9.9,3,6,"no"
"477","no",258.1,11.7,1,5,"no"
"478","no",149.7,7.6,3,2,"no"
"479","no",149.8,8.1,1,2,"no"
"480","no",190.4,11.2,2,4,"no"
"481","no",181.4,11.6,1,6,"no"
"482","no",151.1,5.3,1,3,"no"
"483","no",155.7,8.1,0,4,"no"
"484","no",149.9,13.3,2,13,"no"
"485","no",222.3,11,3,2,"no"
"486","no",149.4,6.7,0,2,"no"
"487","yes",233.8,12.8,0,3,"no"
"488","no",204.2,10.5,0,2,"no"
"489","no",242.9,0,1,0,"no"
"490","no",150.4,12.3,1,4,"no"
"491","no",208.9,12.8,0,7,"no"
"492","yes",191.9,14.3,1,6,"yes"
"493","yes",130.7,9.4,2,2,"yes"
"494","no",119.6,5.9,2,2,"no"
"495","no",273.6,8.2,1,4,"no"
"496","yes",156.1,11.1,2,9,"no"
"497","no",178.7,8,2,4,"no"
"498","no",177.5,11.9,2,3,"no"
"499","yes",211.3,9.7,4,4,"yes"
"500","no",175.2,7.5,1,2,"no"
"501","no",114.3,12.6,3,7,"no"
"502","no",251.4,7.5,1,5,"no"
"503","yes",216.9,17.5,1,5,"yes"
"504","yes",217.2,9.3,0,3,"no"
"505","no",206.3,12.4,0,12,"no"
"506","no",159.3,11.1,1,5,"no"
"507","no",143.1,11.4,2,5,"no"
"508","no",154,5.6,3,2,"yes"
"509","no",186.6,11.6,1,5,"no"
"510","no",170.8,9.6,5,5,"yes"
"511","no",124,12.3,1,3,"no"
"512","no",198.3,14.8,3,8,"no"
"513","no",172.8,9.1,2,8,"no"
"514","no",217.4,6.6,0,3,"no"
"515","yes",265.9,14,0,12,"yes"
"516","no",93.6,17.5,1,5,"no"
"517","no",98.2,7.6,2,1,"no"
"518","no",214.7,9.4,2,4,"no"
"519","no",168.2,12.9,1,3,"no"
"520","no",202.9,9,3,3,"no"
"521","no",261.4,11.6,1,2,"no"
"522","no",73.3,8.2,4,3,"yes"
"523","no",253.7,9.2,7,5,"no"
"524","no",45,9.8,2,6,"no"
"525","no",231.3,13,1,6,"no"
"526","no",47.4,10.5,2,8,"no"
"527","no",227.4,12.5,0,3,"no"
"528","no",40.9,11.9,0,7,"no"
"529","no",124.8,8.6,2,4,"no"
"530","yes",68.5,12.1,0,9,"no"
"531","no",163.5,7.8,2,4,"no"
"532","no",163,6.7,2,3,"no"
"533","no",213.7,10.7,2,5,"no"
"534","no",201.3,5.4,1,3,"no"
"535","no",310.4,9.2,4,10,"no"
"536","no",48.4,18.2,1,1,"no"
"537","no",171.2,14,1,6,"no"
"538","no",166.5,8.5,0,3,"no"
"539","no",216.6,12.4,0,8,"no"
"540","no",107.8,9.9,2,3,"no"
"541","no",141.3,7.8,1,2,"no"
"542","no",209.9,6.6,0,1,"no"
"543","yes",237.5,14.2,9,3,"yes"
"544","no",234.5,3.5,3,6,"no"
"545","no",103.1,12.2,3,8,"no"
"546","no",129.5,11.9,1,3,"no"
"547","yes",279.8,8.4,2,10,"yes"
"548","yes",136.8,10.3,5,9,"yes"
"549","no",100.1,5.9,0,3,"no"
"550","no",237.1,10.1,4,5,"no"
"551","no",172.8,7.9,4,3,"yes"
"552","no",224.5,11.5,2,2,"no"
"553","no",288.1,10.2,3,4,"yes"
"554","yes",78.2,10.1,2,6,"no"
"555","no",148.7,12.7,2,6,"no"
"556","no",194.6,13.1,2,2,"no"
"557","no",159.5,12,0,4,"no"
"558","no",194.5,9.5,1,2,"no"
"559","no",174.1,8.3,2,5,"yes"
"560","no",131.8,7.7,2,6,"no"
"561","no",160.6,10.7,1,1,"no"
"562","no",146.8,7.2,0,7,"no"
"563","no",200.7,9.1,1,5,"no"
"564","no",145.6,10.9,1,5,"no"
"565","no",229.4,8,2,1,"no"
"566","no",211,4.7,3,4,"no"
"567","no",121.5,11.3,2,5,"no"
"568","yes",216,3.6,2,7,"no"
"569","no",293,10,2,6,"no"
"570","yes",221.1,15.4,2,4,"yes"
"571","no",181.5,10.3,1,2,"no"
"572","no",74.3,14.5,2,3,"no"
"573","yes",62.3,10.8,1,3,"no"
"574","no",228.6,9,3,1,"no"
"575","no",228.1,9.9,2,5,"yes"
"576","no",309.9,14.2,1,2,"no"
"577","no",201.9,13.7,3,6,"no"
"578","no",149.8,11.7,2,4,"no"
"579","no",183.8,7.7,1,3,"no"
"580","no",186.7,16.5,1,4,"no"
"581","no",209.4,7.4,1,2,"yes"
"582","no",223.2,10.2,3,3,"no"
"583","no",164.2,10.7,1,8,"no"
"584","no",150.5,10.3,1,2,"no"
"585","no",234.2,9.8,0,6,"yes"
"586","no",55.3,10.2,1,5,"no"
"587","yes",221.8,8.4,1,4,"no"
"588","no",169.6,7.4,1,8,"no"
"589","no",89.7,13.5,5,11,"yes"
"590","no",80.2,8.6,1,2,"no"
"591","no",218.9,11.3,2,4,"no"
"592","no",125.7,12.9,1,2,"no"
"593","no",176.3,9.6,2,1,"no"
"594","no",207.2,9.5,2,5,"no"
"595","no",205.7,12.5,2,6,"no"
"596","no",151.4,0,1,0,"no"
"597","no",157.5,9.6,3,4,"no"
"598","no",160.4,9.1,2,5,"no"
"599","no",159,12.3,1,5,"no"
"600","no",214.1,9.2,0,6,"no"
"601","no",102.6,9.1,2,4,"no"
"602","yes",159.7,13.9,0,6,"yes"
"603","no",202.8,4.6,1,4,"no"
"604","no",57.5,11.6,3,6,"no"
"605","no",169.9,11.4,1,7,"no"
"606","no",335.5,12.7,2,8,"yes"
"607","no",139.5,13.1,0,8,"no"
"608","no",142.3,6.6,1,8,"no"
"609","no",187.8,10.6,0,5,"no"
"610","no",146.2,8.7,3,3,"no"
"611","no",231.8,11.6,3,7,"no"
"612","no",193.7,12.7,1,3,"no"
"613","no",156.4,7.7,4,6,"no"
"614","yes",220.7,13.2,1,6,"yes"
"615","no",239.8,7.3,2,1,"no"
"616","no",172,8,1,5,"no"
"617","yes",128.2,8.8,2,7,"no"
"618","no",130.2,14,3,6,"no"
"619","no",195.4,11.6,1,6,"no"
"620","yes",293.3,14.5,0,4,"yes"
"621","no",191.3,12.8,1,4,"no"
"622","no",122.4,11.5,1,3,"no"
"623","no",209.6,10.6,2,3,"no"
"624","no",215.7,7.1,3,1,"no"
"625","no",161.4,5.1,0,2,"no"
"626","no",144.2,13.8,3,4,"no"
"627","yes",220.2,4.1,0,2,"yes"
"628","no",256.2,7.4,4,2,"no"
"629","no",112.7,6.5,1,5,"no"
"630","no",299.5,13.7,0,4,"yes"
"631","no",194.8,13.9,0,4,"no"
"632","no",100.8,9.5,0,2,"no"
"633","no",82.5,4.8,3,4,"no"
"634","no",146.4,15.6,2,4,"no"
"635","no",177.9,10.8,2,6,"no"
"636","no",153.5,10.2,5,7,"no"
"637","no",150.7,9.2,1,15,"no"
"638","no",180.1,7.5,0,3,"no"
"639","no",265.3,12.9,1,1,"no"
"640","no",128.6,11.4,0,2,"no"
"641","no",161.5,7.9,2,4,"no"
"642","no",165.3,9.8,1,3,"no"
"643","no",195,11,0,13,"no"
"644","no",213.8,15.6,0,7,"no"
"645","no",205.5,14,1,4,"no"
"646","no",252.9,8.5,3,4,"no"
"647","no",235.6,15.4,0,9,"no"
"648","no",192,7.5,1,5,"no"
"649","no",69.1,9.1,0,4,"no"
"650","no",261.7,6,3,3,"yes"
"651","no",235.5,11.5,2,4,"no"
"652","no",213.4,9.5,1,6,"no"
"653","no",206.9,9.2,3,1,"no"
"654","no",263.8,8.5,3,3,"no"
"655","no",183.4,10.5,1,5,"no"
"656","no",157.6,9.4,5,10,"yes"
"657","no",175.6,9.3,0,4,"no"
"658","no",242.5,9.3,2,2,"no"
"659","no",151,9.9,0,7,"no"
"660","no",138.1,8.3,1,2,"no"
"661","no",264.7,9.5,1,9,"yes"
"662","no",282.3,12,1,4,"no"
"663","no",211.2,12.3,0,2,"no"
"664","no",197.1,7.4,3,4,"no"
"665","no",205.3,7.8,1,4,"no"
"666","no",181.8,9.2,2,4,"no"
"667","no",252,9.6,2,1,"no"
